RECEIVING DATE,Coil No,Coil_Details,Weight,Projects,Project_Manager,Coil_Ageing
23-03-2022,TC2A2C5948,0.47 X 1220 X RAL 9006,745,GAINT,Manoj,847
23-03-2022,TC1A2C1017,0.47 X 1220 X RAL 5005,1090,GAINT,Manoj,847
23-03-2022,TC1A2C1018,0.47 X 1220 X RAL 5005,3570,GAINT,Manoj,847
23-03-2022,TC1A2C1020,0.47 X 1220 X RAL 5005,3985,GAINT,Manoj,847
24-04-2022,14RNCCOEGT,0.3 X 1060 X RAL 9002,935,REGULAR,REGULAR,815
27-04-2022,MLK/31C22/2686,0.35 X 1060 X RAL 9002,600,greeno care,Senthil,812
30-Apr,PL8FH2963,0.45 X 1220 X Turquoise Blue,1845,Hari Om Roofings,Senthil,809
13-05-2022,KC2J2D2612,0.35 X 1070 X RAL 9002,565,REGULAR,REGULAR,796
13-05-2022,KC3A110981,0.45 X 1220 X Terracota,2915,REGULAR,REGULAR,796
25-05-2022,K241069220,0.5 X 1220 X RAL 5012,755,TATA NEST,Senthil,784
26-05-2022,MLK/18E22/4034,0.5 X 1220 X RAL 5012,850,TVH,Vivek,783
26-05-2022,K241069110,0.5 X 1150 X RAL 5012,1859,TATA NEST,Senthil,783
27-05-2022,KC2J2D2601,0.45 X 1070 X RAL 9002,1233,REGULAR,REGULAR,782
28-05-2022,MLK/18E22/4039,0.5 X 1220 X RAL 5012 SMP,645,TVH CST,Vivek,781
07-06-2022,K240841A21,0.5 X 1220 X RAL 5012,3390,TATA NEST,Senthil,771
28-06-2022,22CA0021587,0.46 X 1220 X ALUMINIUM DARK GREEN,440,johnson,Manoj,750
07-07-2022,K260257110,0.5 X 1060 X RAL 5012,1210,TATA NEST,Senthil,741
07-07-2022,K260258310,0.5 X 1060 X RAL 5012,1780,TATA NEST,Senthil,741
07-07-2022,K260273210,0.5 X 1060 X RAL 5012,5040,TATA NEST,Senthil,741
07-07-2022,K260257120,0.5 X 1060 X RAL 5012,5050,TATA NEST,Senthil,741
07-07-2022,K260273220,0.5 X 1060 X RAL 5012,1399,TATA NEST,Senthil,741
07-07-2022,K260271120,0.5 X 1060 X RAL 5012,1199,TATA NEST,Senthil,741
06-08-2022,TC2A2A7240,0.5 X 1220 X RAL 6016,2630,PHONIX,Senthil,711
06-08-2022,TC2A2A7238,0.5 X 1220 X RAL 6016,4250,PHONIX,Senthil,711
12-08-2022,PZ1C7K1109,0.5 X 1220 X RAL 9002 SMP,1135,VARIO SYSTEMS,Senthil,705
13-08-2022,TC1A2H0080,0.5 X 1220 X RAL 9010,400,SRINIVASA ENG,Senthil,704
17-08-2022,TC1A2H0075,0.5 X 1220 X RAL 9010,495,SRINIVASA ENG,BOP,700
20-08-2022,VC1A2H0316,0.5 X 1220 X RAL 5002,4160,Arcedge,Manoj,697
20-08-2022,VC1A2H0315,0.5 X 1220 X RAL 5002,2150,EAM MALIBON,Manoj,697
20-08-2022,VC1A2H0321,0.5 X 1220 X RAL 5002,390,Arcedge,BOP,697
14-09-2022,PZ2C5K0938,0.3 X 1070 X RAL 9002,770,REGULAR,BOP,672
14-09-2022,PZ2C5K0955,0.3 X 1070 X RAL 9002,640,REGULAR,REGULAR,672
17-09-2022,VC1J2G1432,0.4 X 1220 X RAL 9002,605,REGULAR,BOP,669
19-09-2022,PZ2C5K0931,0.35 X 1070 X RAL 9002,536,REGULAR,REGULAR,667
09-10-2022,VC1A2I1504,0.5 X 1220 X RAL 7012,3380,DOOTH,Manoj,647
15-10-2022,VC1A2I1487,0.5 X 1220 X RAL 7012,3800,DOOTH,Manoj,641
28-10-2022,VC1A2E0779,0.3 X 1060 X RAL 9002,875,REGULAR,REGULAR,628
28-10-2022,VC1A2E0784,0.3 X 1060 X RAL 9002,1135,REGULAR,REGULAR,628
05-11-2022,MLK/23J22/9157,0.35 X 1220 X RAL 9002,715,greeno care,Senthil,620
07-11-2022,AC1A2H3230,0.4 X 1060 X RAL 9002,1040,REGULAR,REGULAR,618
19-11-2022,AC1A2E1779,0.3 X 1220 X RAL 9002,520,REGULAR,REGULAR,606
22-11-2022,22CA0050617,0.71 X 1220 X ALUMINIUM MF,860,Lakdhanavi,Senthil,603
23-11-2022,22CA0050610,0.71 X 1220 X ALUMINIUM MF,1030,Lakdhanavi,Senthil,602
23-11-2022,22CA0050611,0.71 X 1220 X ALUMINIUM MF,995,Lakdhanavi,Senthil,602
25-11-2022,22CA0048185,0.5 X 1220 X Aluminium Grey,310,REGULAR,REGULAR,600
25-11-2022,AC1A2K1523,0.8 X 1060 X RAL 9002,1087,REGULAR,REGULAR,600
06-12-2022,VC1A2K1818,0.6 X 1220 X RAL 9007,2225,Lakdhanavi,Senthil,589
06-12-2022,VC1A2K1814,0.6 X 1220 X RAL 9007,3670,Lakdhanavi,Senthil,589
07-12-2022,AC1A2K0201,0.35 X 1220 X RAL 9002,615,REGULAR,REGULAR,588
15-12-2022,K251701220,0.5 X 1060 X RAL 5012,4710,TATA NEST,Senthil,580
15-12-2022,K260274210,0.5 X 1060 X RAL 5012,4820,TATA NEST,Senthil,580
15-12-2022,K251701210,0.5 X 1060 X RAL 5012,4870,TATA NEST,Senthil,580
15-12-2022,K260413131,0.5 X 1060 X RAL 5012,5180,TATA NEST,Senthil,580
15-12-2022,K260413111,0.5 X 1060 X RAL 5012,5400,TATA NEST,Senthil,580
20-12-2022,VC1A2K1822,0.8 X 1220 X RAL 7012,3705,DOOTH,Manoj,575
20-12-2022,VC1A2K1823,0.8 X 1220 X RAL 7012,3705,DOOTH,Manoj,575
20-12-2022,VXNR2K7135,0.8 X 1220 X RAL 7012,3735,DOOTH,Manoj,575
24-12-2022,0416PM005U,0.8 X 1220 X RAL 9002,130,REGULAR,REGULAR,571
02-01-2023,22LPI12105,0.3 X 1060 X RAL 9002,805,REGULAR,REGULAR,562
10-01-2023,TC1A2K0619,0.5 X 1155 X RAL 9002,1165,REGULAR,REGULAR,554
20-01-2023,23CA0001268,0.5 X 1220 X DEEP SEA BLUE Aluminium,1650,Oriental,Manoj,544
22-01-2023,C022G1157,0.8 X 1080 X RAL 9002,1260,MAX ROOFING,Manoj,542
22-01-2023,C022G1163,0.8 X 1080 X RAL 9002,1325,MAX ROOFING,Manoj,542
02-02-2023,VC1ACA0307,0.6 X 1220 X RAL 7045,576,DOOTH,Manoj,531
07-02-2023,W22LG1635A,0.47 X 1220 X BGL,900,REGULAR,REGULAR,526
09-02-2023,VC1ACA1597,0.8 X 1080 X RAL 9002 SMP,1530,SRILANKA,Others,524
22-02-2023,23BPL01629,0.4 X 1220 X RAL 7012,700,SNR,BOP,511
22-02-2023,23BPL01634,0.4 X 1220 X RAL 7035,1930,BANNARI AMMAN,Senthil,511
24-02-2023,AC1ACB0513,0.5 X 1220 X RAL 7035,860,SINWOO,Others,509
24-02-2023,AC1ACB0518,0.5 X 1220 X RAL 7035,3290,SINWOO,Others,509
10-03-2023,IR3B02975,0.35 X 1220 X GREY,775,DEVA STEEL,Manoj,495
15-03-2023,VC1ACB1441,0.5 X 1220 X RAL 9001,525,Medi Spray,BOP,490
17-03-2023,23012918,0.3 X 1060 X RAL 9002,325,REGULAR,REGULAR,488
28-03-2023,2322KQ4000,0.47 X 1220 X RAL 9002,575,REGULAR,BOP,477
28-03-2023,AC1ACA2829,0.5 X 1085 X RAL 9002,880,REGULAR,REGULAR,477
29-03-2023,AC1ACB2519,0.6 X 1220 X RAL 7047,1970,PACIFIC ENG,Manoj,476
06-04-2023,AC1A2K2921,0.6 X 1220 X RAL 9002,2223,REGULAR,REGULAR,468
07-04-2023,020342-B,0.5 X 1220 X Aluminum Brick Red,1135,REGULAR,REGULAR,467
11-04-2023,VXNRCB7229,0.8 X 1065 X RAL 9002 SMP,555,ADHANI,Manoj,463
11-04-2023,VXNRCB7230,0.8 X 1065 X RAL 9002 SMP,2276,ADHANI,Manoj,463
19-04-2023,23DPL03541,0.5 X 1150 X RAL 9006,1855,REGULAR,REGULAR,455
25-04-2023,VC1ACD0999,0.5 X 1220 X RAL 9010,1550,MULTICOLOUR,Senthil,449
25-04-2023,VC1ACD0998,0.5 X 1220 X RAL 9010,2635,MULTICOLOUR,Senthil,449
12-05-2023,VC1ACD1471,0.47 X 1220 X RAL 7035,650,EL SHADAI,Senthil,432
12-05-2023,VC1ACD1714,0.5 X 1220 X Arcticwhite,174,KIRBY,BOP,432
12-05-2023,VC1ACD1717,0.5 X 1220 X Arcticwhite,2526,KIRBY,Others,432
12-05-2023,VC1ACD1561,0.5 X 1220 X RAL 7038 SMP,4280,KIRBY,Others,432
15-05-2023,VC1ACD1559,0.5 X 1220 X RAL 7038 SMP,980,KIRBY,Others,429
15-05-2023,VC1ACD1563,0.5 X 1220 X RAL 7038 SMP,2255,KIRBY,Others,429
23-05-2023,AC1ACC1244,0.4 X 1060 X RAL 9002,511,REGULAR,REGULAR,421
24-05-2023,AC1ACE0454,0.6 X 1220 X RAL 7047,2130,PACIFIC ENG,Manoj,420
24-05-2023,AC1ACE0451,0.6 X 1220 X RAL 7047,775,PACIFIC ENG,Manoj,420
28-05-2023,AC1ACC2558,0.8 X 1025 X RAL 9002,1225,REGULAR,REGULAR,416
28-05-2023,AC1ACE0374,0.8 X 1220 X RAL 9002,910,REGULAR,REGULAR,416
30-05-2023,23CA0024191,0.5 X 1220 X RAL 6028 Aluminium,1045,Vels,Senthil,414
30-05-2023,23CA0024189,0.71 X 1220 X RAL 9006 Aluminium,1607,SSS Construction,Senthil,414
30-05-2023,23CA0024186,0.71 X 1220 X RAL 9006 Aluminium,1750,SSS Construction,Senthil,414
30-05-2023,23CA0024190,0.71 X 1220 X RAL 9006 Aluminium,987,SSS Construction,Senthil,414
02-06-2023,23CA0024746,0.71 X 1220 X ALUMINIUM MF,2447,Lakdhanavi,Senthil,411
07-06-2023,K331212120,0.5 X 1220 X RAL 9002,555,ZAMIL,Others,406
07-06-2023,W3EPP5171,0.4 X 1070 X RAL 7015,390,REGULAR,BOP,406
27-06-2023,AC1A2K1767,0.35 X 1060 X RAL 9002,535,REGULAR,BOP,386
27-06-2023,W3FPP6957,0.6 X 1220 X RAL 9003,4445,Techno Door,Manoj,386
12-07-2023,W3EPP5178,0.4 X 1070 X RAL 9003,770,ATS,Regular,371
13-07-2023,W3EPP5169,0.4 X 1070 X RAL 7015,605,REGULAR,REGULAR,370
13-07-2023,W3EPP5168A,0.4 X 1070 X RAL 7015,420,REGULAR,BOP,370
31-07-2023,TC2ACG6205,0.4 X 1060 X RAL 9002(SMP),3450,GLADES,Manoj,352
31-07-2023,TC2ACG6203,0.4 X 1060 X RAL 9002(SMP),3790,GLADES,Manoj,352
04-08-2023,W3GPP9660,0.5 X 1220 X RAL 9003,157,Metalscope,BOP,348
08-08-2023,2372JM3000,0.6 X 1065 X RAL 9002,300,REGULAR,BOP,344
28-08-2023,MLK/20H23/9567,0.4 X 1070 X RAL 9003,1115,ATS,Regular,324
08-09-2023,KC2ACH0794,0.47 X 1220 X BEIGE,840,REGULAR,REGULAR,313
08-09-2023,KC3ACH0088,0.47 X 1085 X GRAPHIT GREY,480,REGULAR,REGULAR,313
13-09-2023,3110071100,0.5 X 1220 X SURFMIST,529,REGULAR,REGULAR,308
16-09-2023,2376RJ5000,0.4 X 1085 X RAL 9002,545,REGULAR,REGULAR,305
19-09-2023,23IPL10178,0.4 X 1065 X RAL 9010,1225,Menakshmi Roofing,Senthil,302
19-09-2023,23IPL10177,0.4 X 1065 X RAL 9010,940,Menakshmi Roofing,Senthil,302
25-09-2023,VC1ACI0836,0.5 X 1080 X RAL 9010,83,Suraj Buildcon,BOP,296
25-09-2023,VC1ACI0841,0.5 X 1080 X RAL 9010,612,Suraj Buildcon,Manoj,296
25-09-2023,2376SA2000,0.4 X 1220 X RAL 9002,545,REGULAR,BOP,296
28-09-2023,W3EGL6471,0.3 X 1065 X BGL,375,REGULAR,BOP,293
29-09-2023,VC2ACH5611,0.5 X 1150 X RAL 9010,3705,Suraj Buildcon,Manoj,292
29-09-2023,VC2ACH5615,0.5 X 1150 X RAL 9010,3750,Suraj Buildcon,Manoj,292
29-09-2023,VC2ACH5610,0.5 X 1150 X RAL 9010,4945,Suraj Buildcon,Manoj,292
30-09-2023,TC1ACG1524,0.4 X 1060 X RAL 9002(RMP),875,GLADES,Manoj,291
30-09-2023,VC2AACH5618,0.5 X 1150 X RAL 9010,3615,Suraj Buildcon,Manoj,291
03-10-2023,TC2ACI5917,0.5 X 1080 X RAL 9003,2100,INTERARCH,Others,288
12-10-2023,23JPL11976,0.35 X 1220 X RAL 7015,680,REGULAR,REGULAR,279
12-10-2023,23GPL08245,0.4 X 1070 X RAL 9002,944,REGULAR,REGULAR,279
12-10-2023,KC2ACH2076,0.5 X 1150 X RAL 9002,1750,REGULAR,REGULAR,279
21-10-2023,K360021120,0.45 X 1085 X RAL 9002,800,infinate,Others,270
21-10-2023,A350309112,0.45 X 1220 X RAL 9002,2200,infinate,Others,270
24-10-2023,KC3ACB2332,0.5 X 1085 X SLATE GREY,1035,REGULAR,REGULAR,267
27-10-2023,23A16X2000,0.5 X 1085 X RAL 9002,845,REGULAR,REGULAR,264
30-10-2023,W3JPP15640,0.3 X 1070 X RAL 9002,432,REGULAR,REGULAR,261
31-10-2023,W3EPP4247,0.4 X 1220 X RAL 9002,770,REGULAR,BOP,260
31-10-2023,TC2ACJ5456,0.5 X 1220 X RAL 7031,4160,JSW CEMENT,Senthil,260
31-10-2023,TC2ACJ5457,0.5 X 1220 X RAL 7031,790,JSW CEMENT,Senthil,260
31-10-2023,TC2ACJ5458,0.5 X 1220 X RAL 7031,4140,JSW CEMENT,Senthil,260
31-10-2023,TC1ACG1526,0.4 X 1060 X RAL 9002,1270,GLADES,Manoj,260
01-Nov,23840K2000,0.45 X 1220 X CAULIFIELD GREEN,591,REGULAR,REGULAR,259
03-11-2023,KC2ACJ3007,0.5 X 1060 X RAL 9002 RMP,2200,REGULAR,REGULAR,257
07-11-2023,HD4230918A8-2,0.4 X 1220 X RAL 9002,615,REGULAR,REGULAR,253
07-11-2023,HD4230918A12-2,0.4 X 1220 X RAL 9002,370,REGULAR,BOP,253
07-11-2023,HD4230918A13-1,0.4 X 1220 X RAL 9002,278,REGULAR,BOP,253
07-11-2023,HD4230918A13-2,0.4 X 1220 X RAL 9002,640,REGULAR,REGULAR,253
07-11-2023,HD4230919B1-2,0.4 X 1060 X RAL 9002,155,REGULAR,BOP,253
07-11-2023,HD4230919B6-1,0.4 X 1060 X RAL 9002,110,REGULAR,BOP,253
07-11-2023,HD4230918C11-2,0.35 X 1220 X RAL 9002,170,REGULAR,BOP,253
07-11-2023,HD4230918A3-1,0.35 X 1220 X RAL 9002,290,REGULAR,BOP,253
07-11-2023,HD4230919C09-1,0.3 X 1060 X RAL 9002,535,REGULAR,BOP,253
07-11-2023,HD4230919A13-2,0.3 X 1060 X RAL 9002,315,REGULAR,BOP,253
07-11-2023,HD4230919A17-1,0.3 X 1060 X RAL 9002,755,REGULAR,REGULAR,253
14-11-2023,23100801,0.3 X 1060 X RAL 9002,798,REGULAR,BOP,246
14-11-2023,23100813,0.3 X 1060 X RAL 9002,325,REGULAR,BOP,246
14-11-2023,23100816,0.3 X 1060 X RAL 9002,425,REGULAR,BOP,246
18-11-2023,VC3ACJ252521,0.5 X 1220 X RAL 7035,155,CGD,BOP,242
19-11-2023,KC3ACI0596,0.5 X 1085 X RAL 9002,200,REGULAR,BOP,241
20-11-2023,KC3ACK0375,0.5 X 1220 X RAL 9002 SMP,93,Nikkitha,BOP,240
22-11-2023,VC1ACK0714,0.5 X 1060 X RAL 7035,160,CGD,BOP,238
22-11-2023,VC1ACK0727,0.5 X 1060 X RAL 7035,2940,CGD,Vivek,238
22-11-2023,VC1ACK0713,0.5 X 1060 X RAL 7035,170,CGD,BOP,238
22-11-2023,VXNRCK7121,0.5 X 1060 X RAL 7035,4070,CGD,Vivek,238
22-11-2023,VC1ACK0725,0.5 X 1060 X RAL 7035,3895,CGD,Vivek,238
22-11-2023,VC1ACK0729,0.5 X 1060 X RAL 7035,90,CGD,BOP,238
27-11-2023,KC3ACC2336,0.5 X 1220 X RAL 5012,725,REGULAR,REGULAR,233
27-11-2023,KC2A1K2406,0.5 X 1220 X RAL 5012,620,REGULAR,REGULAR,233
28-11-2023,W3JPP15624,0.4 X 1070 X RAL 9002,800,REGULAR,REGULAR,232
29-11-2023,2316BS5000,0.45 X 1220 X MIST GREEN,100,REGULAR,BOP,231
29-11-2023,2313YP5000,0.45 X 1220 X MIST GREEN,290,REGULAR,BOP,231
01-Dec,VC1ACK0719,0.5 X 1060 X RAL 7035,3620,CGD,Vivek,229
02-12-2023,TC1ACK0847,0.6 X 1220 X RAL 7038,4150,BEARY,Manoj,228
02-12-2023,TC2ACK5599,0.6 X 1220 X RAL 8004,2925,BEARY,Manoj,228
02-12-2023,TC1ACK0825,0.6 X 1220 X RAL 9002,4755,BEARY,Manoj,228
02-12-2023,TC1ACK0823,0.6 X 1220 X RAL 9002,4750,BEARY,Manoj,228
02-12-2023,TC1ACK0836,0.6 X 1220 X RAL 7038,4065,BEARY,Manoj,228
02-12-2023,TC1ACK0842,0.6 X 1220 X RAL 7038,4580,BEARY,Manoj,228
02-12-2023,TC1ACK0840,0.6 X 1150 X RAL 7038,540,BEARY,Manoj,228
02-12-2023,TC1ACK0839,0.6 X 1220 X RAL 7038,4415,BEARY,Manoj,228
02-12-2023,TC1ACK0843,0.6 X 1220 X RAL 7038,3145,BEARY,Manoj,228
02-12-2023,TC1ACK0848,0.6 X 1220 X RAL 7038,3825,BEARY,Manoj,228
02-12-2023,TC1ACK0850,0.6 X 1220 X RAL 7038,4000,BEARY,Manoj,228
02-12-2023,TC1ACK0824,0.6 X 1220 X RAL 9002,2115,BEARY,Manoj,228
02-12-2023,TC1ACK0821,0.6 X 1220 X RAL 9002,4835,BEARY,Manoj,228
02-12-2023,TC1ACK0819,0.6 X 1220 X RAL 9002,3640,BEARY,Manoj,228
02-12-2023,TC1ACK0818,0.6 X 1220 X RAL 9002,3840,BEARY,Manoj,228
02-12-2023,TC1ACK0846,0.6 X 1220 X RAL 7038,4145,BEARY,Manoj,228
02-12-2023,TC1ACK0835,0.6 X 1220 X RAL 7038,4730,BEARY,Manoj,228
02-12-2023,TC1ACK0844,0.6 X 1220 X RAL 7038,2715,BEARY,Manoj,228
02-12-2023,TC1ACK0845,0.6 X 1220 X RAL 7038,4655,BEARY,Manoj,228
02-12-2023,TC1ACK0849,0.6 X 1220 X RAL 7038,3775,BEARY,Manoj,228
02-12-2023,TC1ACK0820,0.6 X 1220 X RAL 9002,4840,BEARY,Manoj,228
02-12-2023,TC1ACK0838,0.6 X 1220 X RAL 7038,4450,BEARY,Manoj,228
02-12-2023,TC1ACK0841,0.6 X 1220 X RAL 7038,4540,BEARY,Manoj,228
08-12-2023,AC1ACG3097,0.4 X 1070 X RAL 9002,104,REGULAR,BOP,222
08-12-2023,AC1ACG3095,0.4 X 1070 X RAL 9002,116,REGULAR,BOP,222
14-12-2023,TC2ACK5598,0.6 X 1150 X RAL 8004,2965,BEARY,Manoj,216
14-12-2023,TC1ACK0822,0.6 X 1220 X RAL 9002,4995,BEARY,Manoj,216
14-12-2023,TC1ACK0826,0.6 X 1220 X RAL 9002,4310,BEARY,Manoj,216
14-12-2023,TC1ACK0827,0.6 X 1085 X RAL 9002,1170,BEARY,Manoj,216
14-12-2023,TC1ACK0828,0.6 X 1220 X RAL 9002,4615,BEARY,Manoj,216
14-12-2023,TC1ACK0829,0.6 X 1220 X RAL 9002,4600,BEARY,Manoj,216
14-12-2023,TC1ACK0832,0.6 X 1220 X RAL 9002,4130,BEARY,Manoj,216
14-12-2023,TC1ACK0834,0.6 X 1220 X RAL 9002,4180,BEARY,Manoj,216
14-12-2023,23LPL15226,0.4 X 1220 X BRICK RED,475,REGULAR,BOP,216
14-12-2023,23LPL15227,0.4 X 1220 X BRICK RED,434,REGULAR,REGULAR,216
14-12-2023,23LPL15267,0.4 X 1220 X RAL 9005,1535,REGULAR,REGULAR,216
19-12-2023,23821B4000,0.45 X 1220 X RAL 7015,145,REGULAR,BOP,211
20-12-2023,W3IPP13367,0.47 X 1220 X RAL 9002,4150,REGULAR,REGULAR,210
20-12-2023,2380RQ5000,0.47 X 1220 X BRICK RED,225,REGULAR,BOP,210
20-12-2023,AC1ACH1271,0.4 X 1070 X RAL 9002,270,REGULAR,BOP,210
20-12-2023,KC2ACI2671,0.4 X 1070 X RAL 9002,160,REGULAR,BOP,210
21-12-2023,BTSLKO-4901X/4,0.5 X 1065 X S S,800,REGULAR,REGULAR,209
21-12-2023,VN2309010051-02-02,0.5 X 1065 X S S,690,REGULAR,REGULAR,209
21-12-2023,VN2309010051-02-01,0.5 X 1065 X S S,750,REGULAR,REGULAR,209
24-12-2023,23CA0059729,0.5 X 1065 X RAL 5010 ALUMINIUM,2065,FABEX,Others,206
24-12-2023,23CA0059733,0.5 X 1220 X RAL 5010 ALUMINIUM,325,FABEX,Others,206
27-12-2023,TC2ACL6419,0.6 X 1220 X RAL 9001,4060,BEARY,Manoj,203
27-12-2023,TC2ACL6420,0.6 X 1220 X RAL 9001,4055,BEARY,Manoj,203
27-12-2023,TC2ACL6417,0.6 X 1220 X RAL 9001,4275,BEARY,Manoj,203
27-12-2023,TC2ACL6416,0.6 X 1220 X RAL 9001,3765,BEARY,Manoj,203
27-12-2023,TC2ACL6418,0.6 X 1150 X RAL 9001,1700,BEARY,Manoj,203
27-12-2023,TC2ACK5597/5579,0.6 X 1220 X RAL 8004,4195,BEARY,Manoj,203
27-12-2023,TC2ACK5595,0.6 X 1220 X RAL 8004,4720,BEARY,Manoj,203
27-12-2023,TC2ACK5596,0.6 X 1220 X RAL 8004,4600,BEARY,Manoj,203
27-12-2023,TC1ACK0831,0.6 X 1220 X RAL 9002,4590,BEARY,Manoj,203
29-12-2023,W3LPP19511,0.5 X 1085 X RAL 9002,2140,REGULAR,REGULAR,201
29-12-2023,K240841211,0.5 X 1220 X SKY BLUE,622,REGULAR,REGULAR,201
29-12-2023,K3A0591100,0.47 X 1220 X BGL,1390,REGULAR,REGULAR,201
06-Jan,W3LPP20868,0.3 X 1220 X RAL 5002,3645,ADHANI,Manoj,193
06-Jan,W3LPP0866,0.3 X 1220 X RAL 5002,4090,ADHANI,Manoj,193
06-Jan,W3LPP20926,0.5 X 1080 X RAL 9002,1705,HEAVEN,Senthil,193
08-01-2024,W3LPP21267,0.47 X 1220 X RAL 9002,740,REGULAR,REGULAR,191
08-01-2024,W3LPP21043,0.5 X 1085 X RAL 9002,320,REGULAR,BOP,191
08-01-2024,A3A0828222,0.5 X 1220 X RAL 7015,240,REGULAR,BOP,191
09-01-2024,VC3ACL0973,0.5 X 1080 X RAL 9006,130,DOOTH,BOP,190
09-01-2024,KC2J11L2457,0.35 X 1220 X BRICK RED,220,REGULAR,BOP,190
09-01-2024,KC2J1L2461,0.35 X 1220 X BRICK RED,1185,REGULAR,REGULAR,190
11-01-2024,VC3ACL0974,0.5 X 1080 X RAL 9006,230,DOOTH,BOP,188
12-01-2024,TY00294605,0.55 X 1065 X SS,1010,COLD STORAGE,Vivek,187
13-01-2024,VXNRDA7037,0.5 X 1060 X RAL 7038 PVDF,3635,ADHANI,Manoj,186
13-01-2024,VC1ADA0183,0.5 X 1060 X RAL 7038 PVDF,3545,ADHANI,Manoj,186
13-01-2024,VC1ADA0185,0.5 X 1060 X RAL 7038 PVDF,4420,ADHANI,Manoj,186
13-01-2024,VC1ADA0184,0.5 X 1060 X RAL 7038 PVDF,165,ADHANI,BOP,186
13-01-2024,VC1ADA0188,0.5 X 1220 X RAL 5012 PVDF,4205,ADHANI,Manoj,186
13-01-2024,VC1ADA0189,0.5 X 1220 X RAL 5012 PVDF,2905,ADHANI,Manoj,186
14-01-2024,TC2ADA5455,0.5 X 1080 X RAL 9002(SDP),3660,CHINA CON / AED,Manoj,185
18-01-2024,TC2ADA5466,0.5 X 1080 X RAL 9002(SDP),4400,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5465,0.5 X 1080 X RAL 9002(SDP),3580,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5464,0.5 X 1080 X RAL 9002(SDP),3685,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5457,0.5 X 1080 X RAL 9002(SDP),3690,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5475,0.5 X 1080 X RAL 9002(SDP),4350,CHINA CON / AED,Manoj,181
18-01-2024,TC2ADA5459,0.5 X 720 X RAL 9002(SDP),2955,CHINA CONSTRUCTION,Senthil,181
18-01-2024,TC2ADA5463,0.5 X 1080 X RAL 9002(SDP),3570,KEI,Senthil,181
18-01-2024,TC2ADA5242,0.5 X 1150 X RAL 9006,140,AED,BOP,181
18-01-2024,TC2ADA5503,0.5 X 1060 X RAL 9002 SMP,925,REGULAR,REGULAR,181
18-01-2024,24APL00678,0.35 X 1220 X RAL 9002,240,REGULAR,BOP,181
18-01-2024,24APL00557,0.4 X 1220 X RAL 7015,190,REGULAR,BOP,181
18-01-2024,24APL00556,0.4 X 1220 X RAL 7015,320,REGULAR,BOP,181
19-01-2024,TC2ADA5473,0.5 X 1080 X RAL 9002(SDP),4420,KEI,Senthil,180
19-01-2024,TC2ADA5251,0.5 X 1150 X RAL 9006,191,AED,BOP,180
20-01-2024,PZ1C7L2600,0.5 X 1220 X RAL 9002,415,Rajalakshmi,BOP,179
20-01-2024,PZ1CPL0434,0.5 X 1220 X RAL 9002,235,Rajalakshmi,BOP,179
20-01-2024,TC2ADA5450,0.5 X 1080 X RAL 9002(SDP),4045,KEI,Senthil,179
20-01-2024,TAPRDA2127,0.5 X 1080 X RAL 9002(SDP),3125,CHINA CONSTRUCTION,Senthil,179
23-01-2024,KG4ACK0618,0.45 X 1220 X BGL,345,REGULAR,BOP,176
23-01-2024,24CA0000700,0.5 X 1220 X Aluminium Grey,220,REGULAR,REGULAR,176
24-01-2024,W4APP01698,0.47 X 1220 X RAL 9002,1355,infinate,Others,175
27-01-2024,TC2ADA5834,0.7 X 1150 X RAL 2000,815,CHINA CONSTRUCTION,Senthil,172
27-01-2024,TC2ADA5828,0.7 X 1150 X RAL 7045,1960,CHINA CONSTRUCTION,Senthil,172
27-01-2024,TC2ADA5825,0.7 X 1150 X RAL 7045,3920,CHINA CONSTRUCTION,Senthil,172
27-01-2024,TC2ADA5820,0.7 X 1150 X RAL 9010,4570,CHINA CONSTRUCTION,Senthil,172
27-01-2024,TC2ADA5837,0.7 X 1150 X RAL 2000,1555,CHINA CONSTRUCTION,Senthil,172
28-01-2024,W3KPP17101,0.4 X 1070 X RAL 9002,170,REGULAR,BOP,171
30-01-2024,AC1ACI1830,0.3 X 1065 X RAL 9002,2267,REGULAR,REGULAR,169
03-Feb,W3JPP15628,0.3 X 1070 X RAL 9002,685,REGULAR,REGULAR,165
03-Feb,W3JPP15626,0.3 X 1070 X RAL 9002,800,REGULAR,REGULAR,165
03-Feb,W3JPP15631,0.3 X 1070 X RAL 9002,685,REGULAR,REGULAR,165
03-Feb,W3KPP17102A/B,0.4 X 1070 X RAL 9002,2360,REGULAR,REGULAR,165
05-02-2024,23B4BQ3000,0.45 X 1220 X BRICK RED,450,REGULAR,BOP,163
05-02-2024,23A6HU3000,0.45 X 1220 X BRICK RED,70,REGULAR,BOP,163
07-02-2024,M3101240510-1,0.5 X 1060 X SS,990,JAPHA,Vivek,161
09-02-2024,KC3ACL1511,0.6 X 1220 X SKU BLUE,475,REGULAR,REGULAR,159
09-02-2024,KC3ACK2371,0.4 X 1220 X RAL 7015,80,REGULAR,BOP,159
09-02-2024,KC2ADA1990,0.4 X 1220 X RAL 7015,230,REGULAR,BOP,159
