RECEIVING DATE,Coil No,Coil_Details,Weight,Projects,Project_Manager,Coil_Ageing
04-06-2024,KC2ADD0428,0.5 X 1220 X RAL 9002,4370,AMAR STEEL,Manoj,43
04-06-2024,KC2ADD0429,0.5 X 1220 X RAL 9002,4275,AMAR STEEL,Manoj,43
04-06-2024,TC1ADD1516,0.5 X 1080 X RAL 9002,4020,AMAR STEEL,Manoj,43
04-06-2024,TC1ADD1517,0.5 X 1080 X RAL 9002,4150,AMAR STEEL,Manoj,43
04-06-2024,TC1ADD1518,0.5 X 1080 X RAL 9002,3765,AMAR STEEL,Manoj,43
04-06-2024,KC2ADE0437,0.5 X 1080 X RAL 9002,4835,AMAR STEEL,Manoj,43
04-06-2024,KC2ADE0438,0.5 X 1080 X RAL 9002,4835,REGULAR,REGULAR,43
04-06-2024,KC2ADE0439,0.5 X 1080 X RAL 9002,4815,REGULAR,REGULAR,43
04-06-2024,KC2ADE0440,0.5 X 1080 X RAL 9002,2200,REGULAR,REGULAR,43
04-06-2024,KC3ADE0474,0.5 X 1220 X RAL 9002,4660,GOWRA,Senthil,43
04-06-2024,KC3ADE0476,0.5 X 1220 X RAL 9002,3900,GOWRA,Senthil,43
08-06-2024,24FPL11171,0.35 X 1220 X RAL 7015,560,REGULAR,REGULAR,39
08-06-2024,24FPL11178,0.35 X 1220 X RAL 7015,130,REGULAR,BOP,39
08-06-2024,24FPL11177,0.35 X 1220 X RAL 7015,870,REGULAR,REGULAR,39
08-06-2024,24BPL01278,0.5 X 1220 X RAL 9003,463,ATS,BOP,39
08-06-2024,4413143000,0.47 X 1220 X BGL,1105,REGULAR,REGULAR,39
09-06-2024,W4BPP03788,0.35 X 1070 X RAL 9010,655,ATS,Senthil,38
08-06-2024,23KPL14847,0.5 X 1065 X RAL 9002,4540,FABEX,Others,39
08-06-2024,23KPL14846,0.5 X 1065 X RAL 9002,4185,FABEX,Others,39
08-06-2024,23KPL14855,0.5 X 1065 X RAL 9002,4165,FABEX,Others,39
08-06-2024,23KPL14845,0.5 X 1065 X RAL 9002,4090,FABEX,Others,39
08-06-2024,23KPL14844,0.5 X 1065 X RAL 9002,4080,FABEX,Others,39
08-06-2024,23KPL14854,0.5 X 1220 X RAL 9002,460,REGULAR,REGULAR,39
08-06-2024,23KPL14851,0.5 X 1065 X RAL 9002,2785,FABEX,Others,39
08-06-2024,23KPL14853,0.5 X 1065 X RAL 9002,2645,FABEX,Others,39
08-06-2024,23KPL14850,0.5 X 1065 X RAL 9002,2440,FABEX,Others,39
08-06-2024,23KPL14856,0.5 X 1065 X RAL 9002,2300,FABEX,Others,39
10-06-2024,AC1ADE1375,0.4 X 1220 X RAL 9002,1885,REGULAR,REGULAR,37
